ID,M/F,Age,Cycle ,Age/month,In Vitro Viability,In vitro Exsheathment,In Vivo Viability,In Vivo Exsheathment,Hatchability
1,m,6,1,1,86.3,87.0,54.1,85.5,96.0
2,m,6,1,1,91.2,42.8,65.0,71.4,97.8
3,m,6,1,1,,,82.0,52.4,
4,m,6,1,1,,,73.6,40.9,
1,m,6,1,2,96.8,27.0,67.0,74.6,98.2
2,m,6,1,2,98.5,21.0,63.1,56.7,97.5
3,m,6,1,2,,,69.1,60.2,
4,m,6,1,2,,,93.0,67.6,
1,m,6,1,2,91.3,19.8,95.0,54.4,
2,m,6,1,2,99.3,28.7,92.0,85.6,
3,m,6,1,2,,,84.9,81.5,
1,m,6,1,3,99.9,71.1,85.1,85.0,99.0
2,m,6,1,3,98.9,88.5,98.0,86.1,98.5
3,m,6,1,3,,,94.5,85.0,
4,m,6,1,3,,,100.0,100.0,
1,m,6,1,3,100.0,52.2,98.9,93.1,
2,m,6,1,3,94.7,63.2,98.9,96.7,
3,m,6,1,3,100.0,63.9,97.4,93.5,
4,m,6,1,3,,,95.5,81.9,
1,m,6,1,4,93.1,28.7,74.9,59.2,95.8
2,m,6,1,4,87.4,17.1,78.4,27.6,
3,m,6,1,4,96.4,21.5,72.0,80.1,
4,m,6,1,4,,,76.3,87.4,
1,m,6,1,4,100.0,20.2,96.8,95.0,
2,m,6,1,4,100.0,26.1,93.8,80.3,
3,m,6,1,4,100.0,19.8,91.6,63.4,
4,m,6,1,4,,,97.0,78.3,
1,m,9,2,1,97.3,53.7,78.2,76.1,97.0
2,m,9,2,1,91.7,56.0,81.6,72.3,97.5
3,m,9,2,1,94.8,54.0,63.7,79.8,
4,m,9,2,1,,,80.5,83.0,
1,m,9,2,1,71.8,72.3,84.6,56.6,
2,m,9,2,1,88.1,73.1,56.3,54.8,
3,m,9,2,1,89.8,66.5,42.0,64.8,
4,m,9,2,1,,,68.6,72.4,
1,m,9,2,2,100.0,66.4,91.1,84.7,98.0
2,m,9,2,2,100.0,71.2,93.9,64.5,95.5
3,m,9,2,2,100.0,73.5,96.2,86.8,
4,m,9,2,2,,,98.4,44.9,
